39, State-gov,77516
50, Self-emp-not-inc,83311
38, Private,215646
53, Private,234721
28, Private,338409
37, Private,284582
49, Private,160187
52, Self-emp-not-inc,209642
31, Private,45781
42, Private,159449
37, Private,280464
30, State-gov,141297
23, Private,122272
32, Private,205019
40, Private,121772
34, Private,245487
25, Self-emp-not-inc,176756
32, Private,186824
38, Private,28887
43, Self-emp-not-inc,292175
40, Private,193524
54, Private,302146
35, Federal-gov,76845
43, Private,117037
59, Private,109015
56, Local-gov,216851
19, Private,168294
54, ?,180211
39, Private,367260
49, Private,193366
23, Local-gov,190709
20, Private,266015
45, Private,386940
30, Federal-gov,59951
22, State-gov,311512
48, Private,242406
21, Private,197200
19, Private,544091
31, Private,84154
48, Self-emp-not-inc,265477
31, Private,507875
53, Self-emp-not-inc,88506
24, Private,172987
49, Private,94638
25, Private,289980
57, Federal-gov,337895
53, Private,144361
44, Private,128354
41, State-gov,101603
29, Private,271466
25, Private,32275
18, Private,226956
47, Private,51835
50, Federal-gov,251585
47, Self-emp-inc,109832
43, Private,237993
46, Private,216666
35, Private,56352
41, Private,147372
30, Private,188146
30, Private,59496
32, ?,293936
48, Private,149640
42, Private,116632
29, Private,105598
36, Private,155537
28, Private,183175
53, Private,169846
49, Self-emp-inc,191681
25, ?,200681
19, Private,101509
31, Private,309974
29, Self-emp-not-inc,162298
23, Private,211678
79, Private,124744
27, Private,213921
40, Private,32214
67, ?,212759
18, Private,309634
31, Local-gov,125927
18, Private,446839
52, Private,276515
46, Private,51618
59, Private,159937
44, Private,343591
53, Private,346253
49, Local-gov,268234
33, Private,202051
30, Private,54334
43, Federal-gov,410867
57, Private,249977
37, Private,286730
28, Private,212563
30, Private,117747
34, Local-gov,226296
29, Local-gov,115585
48, Self-emp-not-inc,191277
37, Private,202683
48, Private,171095
32, Federal-gov,249409
